index,lat,long,speed,date,time,air_val,dust,gsr
,,,,,,,,
0.0,51.531888,-0.125338,0.0,20524.0,14393000.0,14.0,0.0,411.0
1.0,51.531888,-0.125338,0.0,20524.0,14394900.0,26.0,0.0,412.0
2.0,51.531888,-0.125338,0.0,20524.0,14395000.0,27.0,0.0,414.0
3.0,51.531888,-0.125338,0.0,20524.0,14395100.0,26.0,0.0,415.0
4.0,51.531888,-0.125338,0.0,20524.0,14395200.0,26.0,0.0,416.0
5.0,51.531888,-0.125338,0.0,20524.0,14395300.0,26.0,0.0,416.0
6.0,51.531888,-0.125338,0.0,20524.0,14395400.0,25.0,0.0,417.0
7.0,51.531888,-0.125338,0.0,20524.0,14395500.0,26.0,0.0,417.0
8.0,51.531888,-0.125338,0.0,20524.0,14395600.0,27.0,0.0,417.0
9.0,51.531888,-0.125338,0.0,20524.0,14395700.0,27.0,0.0,418.0
10.0,51.531888,-0.125338,0.0,20524.0,14395800.0,26.0,1.87,417.0
11.0,51.531888,-0.125338,0.0,20524.0,14395900.0,27.0,1.87,401.0
12.0,51.531888,-0.125338,0.0,20524.0,14400000.0,26.0,1.87,398.0
13.0,51.532042,-0.125222,0.0,20524.0,14400100.0,25.0,1.87,401.0
14.0,51.53204,-0.125225,0.0,20524.0,14400200.0,25.0,1.87,404.0
15.0,51.532038,-0.125228,1.32,20524.0,14400300.0,26.0,1.87,406.0
16.0,51.53204,-0.125223,0.0,20524.0,14400400.0,26.0,1.87,406.0
17.0,51.532048,-0.125218,0.0,20524.0,14400500.0,26.0,1.87,409.0
18.0,51.532055,-0.125212,0.0,20524.0,14400600.0,26.0,1.87,408.0
19.0,51.532055,-0.125212,0.0,20524.0,14400700.0,26.0,1.87,406.0
20.0,51.532097,-0.125188,2.07,20524.0,14400800.0,26.0,1.87,405.0
21.0,51.532113,-0.12518,2.43,20524.0,14400900.0,26.0,1.87,402.0
22.0,51.532128,-0.125167,2.66,20524.0,14401000.0,25.0,1.87,399.0
23.0,51.53218,-0.125133,2.66,20524.0,14401200.0,25.0,1.87,396.0
24.0,51.532198,-0.125123,2.32,20524.0,14401300.0,25.0,1.87,398.0
25.0,51.532217,-0.125112,2.32,20524.0,14401400.0,25.0,1.87,402.0
26.0,51.532228,-0.125098,1.94,20524.0,14401500.0,26.0,1.87,405.0
27.0,51.53224,-0.125088,1.75,20524.0,14401600.0,25.0,1.87,404.0
28.0,51.53226,-0.125083,2.0,20524.0,14401700.0,26.0,1.87,400.0
29.0,51.532282,-0.125075,2.54,20524.0,14401800.0,26.0,1.87,403.0
30.0,51.532293,-0.125068,2.53,20524.0,14401900.0,26.0,1.87,403.0
31.0,51.532305,-0.12506,2.5,20524.0,14402000.0,26.0,1.87,405.0
32.0,51.532317,-0.125052,2.54,20524.0,14402100.0,25.0,1.87,405.0
33.0,51.532323,-0.125035,2.59,20524.0,14402200.0,26.0,1.87,402.0
34.0,51.532342,-0.125013,2.8,20524.0,14402400.0,25.0,1.87,404.0
35.0,51.532348,-0.125003,2.77,20524.0,14402500.0,26.0,1.87,405.0
36.0,51.532353,-0.12501,2.72,20524.0,14402600.0,26.0,1.87,406.0
37.0,51.532352,-0.12501,2.72,20524.0,14402700.0,25.0,0.62,407.0
38.0,51.532355,-0.12501,0.0,20524.0,14402800.0,26.0,0.62,409.0
39.0,51.532365,-0.12501,0.0,20524.0,14402900.0,26.0,0.62,408.0
40.0,51.532375,-0.125007,0.0,20524.0,14403000.0,25.0,0.62,402.0
41.0,51.532383,-0.125002,1.02,20524.0,14403100.0,26.0,0.62,402.0
