index 	 lat 	 long 	 speed 	 date 	 time 	 air_val 	 dust 	 gsr
0	51.531888	-0.125338	0.00	20524	14393000	14	0.00	411
1	51.531888	-0.125338	0.00	20524	14394900	26	0.00	412
2	51.531888	-0.125338	0.00	20524	14395000	27	0.00	414
3	51.531888	-0.125338	0.00	20524	14395100	26	0.00	415
4	51.531888	-0.125338	0.00	20524	14395200	26	0.00	416
5	51.531888	-0.125338	0.00	20524	14395300	26	0.00	416
6	51.531888	-0.125338	0.00	20524	14395400	25	0.00	417
7	51.531888	-0.125338	0.00	20524	14395500	26	0.00	417
8	51.531888	-0.125338	0.00	20524	14395600	27	0.00	417
9	51.531888	-0.125338	0.00	20524	14395700	27	0.00	418
10	51.531888	-0.125338	0.00	20524	14395800	26	1.87	417
11	51.531888	-0.125338	0.00	20524	14395900	27	1.87	401
12	51.531888	-0.125338	0.00	20524	14400000	26	1.87	398
13	51.532042	-0.125222	0.00	20524	14400100	25	1.87	401
14	51.532040	-0.125225	0.00	20524	14400200	25	1.87	404
15	51.532038	-0.125228	1.32	20524	14400300	26	1.87	406
16	51.532040	-0.125223	0.00	20524	14400400	26	1.87	406
17	51.532048	-0.125218	0.00	20524	14400500	26	1.87	409
18	51.532055	-0.125212	0.00	20524	14400600	26	1.87	408
19	51.532055	-0.125212	0.00	20524	14400700	26	1.87	406
20	51.532097	-0.125188	2.07	20524	14400800	26	1.87	405
21	51.532113	-0.125180	2.43	20524	14400900	26	1.87	402
22	51.532128	-0.125167	2.66	20524	14401000	25	1.87	399
23	51.532180	-0.125133	2.66	20524	14401200	25	1.87	396
24	51.532198	-0.125123	2.32	20524	14401300	25	1.87	398
25	51.532217	-0.125112	2.32	20524	14401400	25	1.87	402
26	51.532228	-0.125098	1.94	20524	14401500	26	1.87	405
27	51.532240	-0.125088	1.75	20524	14401600	25	1.87	404
28	51.532260	-0.125083	2.00	20524	14401700	26	1.87	400
29	51.532282	-0.125075	2.54	20524	14401800	26	1.87	403
30	51.532293	-0.125068	2.53	20524	14401900	26	1.87	403
31	51.532305	-0.125060	2.50	20524	14402000	26	1.87	405
32	51.532317	-0.125052	2.54	20524	14402100	25	1.87	405
33	51.532323	-0.125035	2.59	20524	14402200	26	1.87	402
34	51.532342	-0.125013	2.80	20524	14402400	25	1.87	404
35	51.532348	-0.125003	2.77	20524	14402500	26	1.87	405
36	51.532353	-0.125010	2.72	20524	14402600	26	1.87	406
37	51.532352	-0.125010	2.72	20524	14402700	25	0.62	407
38	51.532355	-0.125010	0.00	20524	14402800	26	0.62	409
39	51.532365	-0.125010	0.00	20524	14402900	26	0.62	408
40	51.532375	-0.125007	0.00	20524	14403000	25	0.62	402
41	51.532383	-0.125002	1.02	20524	14403100	26	0.62	402
42	51.532395	-0.125002	1.27	20524	14403200	25	0.62	410
43	51.532408	-0.124995	1.73	20524	14403300	26	0.62	412
44	51.532427	-0.124985	2.19	20524	14403400	26	0.62	413
45	51.532443	-0.124985	2.44	20524	14403500	26	0.62	411
46	51.532485	-0.124953	2.89	20524	14403700	26	0.62	408
47	51.532497	-0.124943	2.89	20524	14403800	26	0.62	407
48	51.532508	-0.124940	2.89	20524	14403900	26	0.62	408
49	51.532523	-0.124960	2.67	20524	14404000	25	0.62	407
50	51.532540	-0.124962	2.69	20524	14404100	26	0.62	407
51	51.532592	-0.124997	2.78	20524	14404200	25	0.62	407
52	51.532608	-0.125010	2.76	20524	14404300	26	0.62	403
53	51.532620	-0.125013	2.69	20524	14404400	25	0.62	405
54	51.532630	-0.125008	2.62	20524	14404500	25	0.62	408
55	51.532645	-0.125005	2.64	20524	14404600	25	0.62	408
56	51.532658	-0.124998	2.62	20524	14404700	25	0.62	404
57	51.532678	-0.124992	2.66	20524	14404900	26	0.62	400
58	51.532687	-0.124987	2.64	20524	14405000	25	0.62	399
59	51.532695	-0.124977	2.64	20524	14405100	25	0.62	400
60	51.532710	-0.124968	2.64	20524	14405200	25	0.62	405
61	51.532722	-0.124968	2.41	20524	14405300	25	0.62	407
62	51.532733	-0.124968	2.38	20524	14405400	25	0.62	408
63	51.532737	-0.124967	2.38	20524	14405500	26	0.62	408
64	51.532750	-0.124960	2.07	20524	14405600	26	0.62	408
65	51.532755	-0.124957	1.86	20524	14405700	25	0.62	409
66	51.532758	-0.124952	1.82	20524	14405800	26	0.62	412
67	51.532760	-0.124957	1.83	20524	14405900	26	0.62	411
68	51.532767	-0.124953	1.81	20524	14410000	26	0.62	409
69	51.532773	-0.124948	1.80	20524	14410100	26	0.62	409
70	51.532778	-0.124945	1.78	20524	14410200	26	0.62	410
71	51.532783	-0.124948	1.78	20524	14410300	26	0.62	410
72	51.532790	-0.124955	1.78	20524	14410500	26	0.62	410
73	51.532790	-0.124962	1.82	20524	14410600	26	0.62	412
74	51.532792	-0.124962	1.60	20524	14410700	26	0.62	413
75	51.532777	-0.124975	1.27	20524	14410800	26	0.62	411
76	51.532773	-0.124973	1.24	20524	14410900	26	0.62	407
77	51.532753	-0.124993	1.22	20524	14411000	26	0.62	408
78	51.532757	-0.124992	1.46	20524	14411100	26	0.62	408
79	51.532765	-0.124987	1.54	20524	14411200	26	0.62	411
80	51.532767	-0.124982	1.55	20524	14411300	26	0.62	412
81	51.532765	-0.124980	1.51	20524	14411400	25	0.62	412
82	51.532767	-0.124973	1.44	20524	14411500	26	0.62	407
83	51.532777	-0.124967	1.42	20524	14411700	25	0.62	407
84	51.532777	-0.124965	1.42	20524	14411800	26	0.62	409
85	51.532782	-0.124957	1.35	20524	14411900	25	0.62	410
86	51.532792	-0.124955	1.36	20524	14412000	26	0.62	411
87	51.532742	-0.124950	1.29	20524	14412100	26	0.62	412
88	51.532692	-0.124947	1.22	20524	14412200	26	0.62	413
89	51.532680	-0.124957	1.14	20524	14412300	26	0.62	414
90	51.532670	-0.124958	1.07	20524	14412400	26	0.62	415
91	51.532652	-0.124963	1.10	20524	14412500	26	0.62	411
92	51.532642	-0.124970	1.17	20524	14412600	26	0.62	408
93	51.532643	-0.124972	1.17	20524	14412700	26	0.62	408
94	51.532635	-0.124968	1.21	20524	14412800	26	0.62	411
95	51.532618	-0.124980	1.21	20524	14413000	25	0.62	412
96	51.532623	-0.124975	1.16	20524	14413100	26	0.62	413
97	51.532618	-0.124985	1.13	20524	14413200	27	0.62	414
98	51.532623	-0.124987	0.00	20524	14413300	26	0.62	412
99	51.532640	-0.124972	0.00	20524	14413400	26	0.62	410
100	51.532645	-0.124972	1.39	20524	14413500	25	0.62	411
101	51.532650	-0.124968	1.42	20524	14413600	26	0.62	411
102	51.532660	-0.124960	1.48	20524	14413700	26	0.62	412
103	51.532663	-0.124960	1.45	20524	14413800	26	0.62	413
104	51.532668	-0.124952	1.40	20524	14413900	26	0.62	416
105	51.532662	-0.124938	1.44	20524	14414000	26	0.62	415
106	51.532685	-0.124902	1.44	20524	14414200	26	0.62	415
107	51.532687	-0.124895	1.44	20524	14414300	25	0.62	412
108	51.532688	-0.124895	1.44	20524	14414400	26	0.62	412
109	51.532682	-0.124893	1.44	20524	14414500	27	0.62	413
110	51.532678	-0.124893	1.60	20524	14414600	26	0.62	410
111	51.532672	-0.124898	1.40	20524	14414700	26	0.62	399
112	51.532667	-0.124900	1.19	20524	14414800	25	0.62	401
113	51.532672	-0.124900	1.21	20524	14414900	25	0.62	401
114	51.532673	-0.124902	1.16	20524	14415000	25	0.62	401
115	51.532682	-0.124903	1.21	20524	14415100	25	0.62	401
116	51.532682	-0.124915	1.21	20524	14415200	25	0.62	401
117	51.532685	-0.124915	1.20	20524	14415300	25	0.62	400
118	51.532697	-0.124923	1.20	20524	14415500	25	0.62	402
119	51.532695	-0.124948	1.20	20524	14415600	25	0.62	401
120	51.532695	-0.124962	1.20	20524	14415700	25	0.62	402
121	51.532695	-0.124962	1.22	20524	14415700	25	0.62	403
122	51.532710	-0.124975	1.22	20524	14415800	25	0.98	404
123	51.532715	-0.124987	1.45	20524	14415900	25	0.98	405
124	51.532712	-0.125020	1.45	20524	14420000	25	0.98	407
125	51.532715	-0.125045	1.55	20524	14420100	25	0.98	406
126	51.532715	-0.125070	1.62	20524	14420200	26	0.98	406
127	51.532705	-0.125117	1.57	20524	14420300	27	0.98	407
128	51.532702	-0.125162	1.60	20524	14420400	26	0.98	407
129	51.532700	-0.125183	1.59	20524	14420500	26	0.98	406
130	51.532707	-0.125185	1.55	20524	14420600	26	0.98	405
131	51.532713	-0.125192	1.55	20524	14420700	25	0.98	405
132	51.532723	-0.125192	1.58	20524	14420800	26	0.98	405
133	51.532708	-0.125215	1.33	20524	14420900	26	0.98	407
134	51.532708	-0.125228	1.38	20524	14421000	26	0.98	408
135	51.532698	-0.125230	1.20	20524	14421100	26	0.98	409
136	51.532687	-0.125240	0.93	20524	14421200	26	0.98	411
137	51.532688	-0.125240	0.91	20524	14421300	26	0.98	412
138	51.532693	-0.125235	0.93	20524	14421400	26	0.98	417
139	51.532695	-0.125230	0.93	20524	14421500	26	0.98	415
140	51.532702	-0.125225	0.99	20524	14421600	26	0.98	413
141	51.532715	-0.125218	1.21	20524	14421700	26	0.98	413
142	51.532738	-0.125200	1.21	20524	14421900	26	0.98	413
143	51.532740	-0.125210	1.21	20524	14422000	26	0.98	414
144	51.532747	-0.125208	1.21	20524	14422100	25	0.98	414
145	51.532753	-0.125205	1.15	20524	14422200	27	0.98	415
146	51.532763	-0.125203	1.14	20524	14422300	26	0.98	417
147	51.532767	-0.125198	1.13	20524	14422400	26	0.98	416
148	51.532775	-0.125190	1.17	20524	14422500	25	0.98	418
149	51.532785	-0.125183	1.22	20524	14422600	26	0.98	418
150	51.532798	-0.125173	1.47	20524	14422700	26	0.98	418
151	51.532803	-0.125167	1.45	20524	14422800	26	0.62	418
152	51.532810	-0.125162	1.39	20524	14422900	26	0.62	420
153	51.532828	-0.125145	1.14	20524	14423100	26	0.62	418
154	51.532842	-0.125137	1.20	20524	14423200	26	0.62	418
155	51.532865	-0.125130	1.20	20524	14423300	26	0.62	421
156	51.532870	-0.125122	1.45	20524	14423400	27	0.62	406
157	51.532883	-0.125112	1.48	20524	14423500	25	0.62	394
158	51.532892	-0.125103	1.43	20524	14423600	24	0.62	389
159	51.532898	-0.125102	1.22	20524	14423700	25	0.62	385
160	51.532918	-0.125078	1.27	20524	14423800	24	0.62	386
161	51.532930	-0.125068	1.55	20524	14423900	24	0.62	388
162	51.532945	-0.125065	1.88	20524	14424000	25	0.62	394
163	51.532953	-0.125062	1.86	20524	14424100	25	0.62	398
164	51.532975	-0.125053	1.86	20524	14424300	25	0.62	399
165	51.532990	-0.125043	1.86	20524	14424400	25	0.62	400
166	51.533010	-0.125035	1.86	20524	14424500	25	0.62	403
167	51.533023	-0.125027	1.81	20524	14424600	25	0.62	403
168	51.533052	-0.124997	1.98	20524	14424700	25	0.62	405
169	51.533068	-0.124985	2.07	20524	14424800	25	0.62	405
170	51.533098	-0.124975	2.46	20524	14424900	25	0.62	404
171	51.533115	-0.124973	2.47	20524	14425000	26	0.62	397
172	51.533137	-0.124968	2.52	20524	14425100	24	0.62	399
173	51.533163	-0.124958	2.76	20524	14425200	24	0.62	404
174	51.533200	-0.124942	3.10	20524	14425300	25	0.62	400
175	51.533222	-0.124935	3.12	20524	14425400	25	0.62	390
