,ID,additionalProperties,lat,lon
0,BikePoints_1,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001023', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278947280000', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '4', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '15', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '19', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '2', 'modified': '2023-11-08T20:55:52.22Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '2', 'modified': '2023-11-08T20:55:52.22Z'}]",51.529163,-0.10997
1,BikePoints_2,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001018', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278585780000', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '18', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '18', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '37', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '18', 'modified': '2023-11-08T21:59:25.95Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T21:59:25.95Z'}]",51.499606,-0.197574
2,BikePoints_3,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001012', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278240360000', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '32', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '32', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T19:03:00.47Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T19:03:00.47Z'}]",51.521283,-0.084605
3,BikePoints_4,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001013', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278241080000', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '20', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '3', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '23', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '20', 'modified': '2023-11-08T23:04:29.387Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T23:04:29.387Z'}]",51.530059,-0.120973
4,BikePoints_5,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '003420', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278241440000', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '26', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '27', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T22:37:00.227Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T22:37:00.227Z'}]",51.49313,-0.156876
5,BikePoints_6,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '003424', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278241680000', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '17', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '18', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T23:03:30.27Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T23:03:30.27Z'}]",51.518117,-0.144228
6,BikePoints_7,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '003422', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278241800000', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '15', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '1', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '16', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '15', 'modified': '2023-11-08T22:35:03.397Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T22:35:03.397Z'}]",51.5343,-0.168074
7,BikePoints_8,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '003423', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1540984560000', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '34', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '5', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '39', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '30', 'modified': '2023-11-08T23:20:33.673Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '4', 'modified': '2023-11-08T23:20:33.673Z'}]",51.529857,-0.183486
8,BikePoints_9,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001015', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278242340000', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '8', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '11', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '19', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '8', 'modified': '2023-11-08T22:54:27.88Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T22:54:27.88Z'}]",51.507385,-0.09644
9,BikePoints_10,"[{'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'TerminalName', 'sourceSystemKey': 'BikePoints', 'value': '001024', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Installed', 'sourceSystemKey': 'BikePoints', 'value': 'true', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Locked', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'InstallDate', 'sourceSystemKey': 'BikePoints', 'value': '1278242460000', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'RemovalDate', 'sourceSystemKey': 'BikePoints', 'value': '', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'Temporary', 'sourceSystemKey': 'BikePoints', 'value': 'false', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbBikes', 'sourceSystemKey': 'BikePoints', 'value': '12', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEmptyDocks', 'sourceSystemKey': 'BikePoints', 'value': '6', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbDocks', 'sourceSystemKey': 'BikePoints', 'value': '18', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbStandardBikes', 'sourceSystemKey': 'BikePoints', 'value': '12', 'modified': '2023-11-08T21:25:09.307Z'}, {'$type': 'Tfl.Api.Presentation.Entities.AdditionalProperties, Tfl.Api.Presentation.Entities', 'category': 'Description', 'key': 'NbEBikes', 'sourceSystemKey': 'BikePoints', 'value': '0', 'modified': '2023-11-08T21:25:09.307Z'}]",51.505974,-0.092754
